slug,display_name,locator_url,method,band_low,band_high,franchises,hq,alt_domains,notes
arwa,Arwa Yemeni Coffee,https://arwacoffee.com/locations,scrape,10,18,0,,[],
caffeena,Caffeena Coffee House,https://caffeena.com/locations,scrape,1,8,0,,[],
delah,Delah Coffee,https://delahcoffee.com/pages/locations,scrape,5,10,0,,[],
haraz,Haraz Coffee House,https://harazcoffeehouse.com,scrape,55,75,1,,[],"16 per-state pages /pages/<state>-locations; summary page is stale, ignore it."
heyma,Heyma,https://heymacoffeeca.com,scrape,1,4,0,,[],
matari,Matari Coffee,https://mataricoffee.com/locations,scrape,6,12,0,,[],US census: exclude the Mississauga ON store.
mohka_house,Mohka House,,manual,0,5,0,"Oakland, CA",[],No website; hand-maintained CSV.
moka_and_co,Moka & Co,https://mokanco.com/pages/locations,scrape,23,35,0,,[],Two parallel URL structures on one domain — scrape exactly one or double-count.
mokafe,MOKAFÉ,https://mymokafe.com,scrape,1,12,0,,[],"Prior research disagreed on which storefronts are actually MOKAFÉ; verify by hand before publishing, and tighten the band once the scraper settles. Distinct company from Moka & Co."
qahwah_house,Qahwah House,https://qahwahhouse.com,scrape,24,35,0,,[],/locations/<slug> pages discovered via sitemap.xml.
qamaria,Qamaria Yemeni Coffee,https://www.qamariacoffee.com/cafes,scrape,44,60,1,,[],"Storepoint map widget; data comes from its API, not Squarespace. Catering service-area rows and non-US stores are excluded. The feed carries no coming-soon flag, so the announced pipeline is invisible for this brand."
qatra,Qatra Coffee,https://qatracoffee.com/locations,scrape,2,6,0,,[],qatracoffee.com is the Yemeni brand — NOT qatracafe.com (see exclusions).
sanaa_cafe,Sana'a Cafe,https://thesanaacafe.com,manual,0,15,0,,"[""sanaahousecafe.com""]","Locator provably incomplete — it omits stores the press confirms are trading — and its 'coming soon' labels are unreliable, since the label sits in the order-button slot. Hand-maintained CSV; treat the total as a floor, not a count."
shibam,Shibam Coffee Co.,https://shibamcoffee.com,scrape,18,26,0,,[],WP REST /wp-json/wp/v2/pages?slug=our-locations&_fields=content.
